Titulo;Anio;Genero;Duracion;Reparto 
Happy Feet 2 - O Pinguim;2011;Animação, Infantil;99 minutos;Brad Pitt,Carlos Alazraqui,Common,Elijah Wood,Hugo Weaving,Matt Damon,Robin Williams,Sofia Vergara,George Miller
Olho Nu;2014;Documentários, Biografia, Musical;104 minutos;Ney Matogrosso,Joel Pizzini
O Vingador Invisível;1949;Clássico, Drama, Suspense;96 minutos;Barry Fitzgerald,C. Aubrey Smith,Judith Anderson,June Duprez,Louis Hayward,Mischa Auer,Roland Young,Walter Huston,René Clair
Preto Velho na Lagoinha;2016;Documentários;71 minutos;Não Disponível,Célio Dutra
The Rolling Stones - Gimme Shelter;1970;Clássico, Documentários;91 minutos;Bill Wyman,Charlie Watts,Keith Richards,Mick Jagger,Mick Taylor,Tina Turner,Albert Maysles
Contos de Guerra;2019;Drama, Romance, Suspense;107 minutos;Barnabás Dékány,Bercel Tóth,József Gyabronka,Levente Molnár,Tamás Szabó Kimmel,Vica Kerekes,Zoltán Tamási,Attila Szász
Lu e Tchelo - Ao Vivo;2008;Shows, Sertanejo;54 minutos;Lu,Tchelo,Luiz Carlos Maluly
Looney Tunes de Volta à Ação;2003;Infantil, Animação, Aventura, Comédia;91 minutos;Bill Goldberg,Heather Locklear,Jenna Elfman,Joan Cusack,Robert Picardo,Roger Corman,Steve Martin,Timothy Dalton,Joe Dante
Gabriel e a Montanha;2017;Aventura, Drama;131 minutos;Alex Alembe,Caroline Abras,João Pedro Zappa,John Goodluck,Leonard Siampala,Fellipe Barbosa
As Aventuras do Avião Vermelho;2014;Animação, Infantil;72 minutos;Fernando Alves Pinto,João França,Lázaro Ramos,Milton Gonçalves,Pedro Yan,Sérgio Lulkin,Wandi Doratiotto,Zezeh Barbosa,Frederico Pinto,José Maia
Jota Quest - Rock in Rio;2011;Shows, Rock Nacional;64 minutos;Jota Quest,Marco Mazzola
Herança Maldita;2020;Terror;105 minutos;Chris Galust,Clair Catherine,Emily Sweet,Genti Kame,Jake Horowitz,Kika Magalhães,Klodian Hoxha,Klodjana Keco,Omar Shariff Brunson Jr.,Tate Steinsiek
Só a Mulher Peca;1952;Clássico, Drama;104 minutos;Barbara Stanwyck,J. Carrol Naish,Keith Andes,Marilyn Monroe,Paul Douglas,Robert Ryan,Silvio Minciotti,Tony Martin,Fritz Lang
Ato de Vida;2009;Documentários;56 minutos;Susana Pacheco,Juan Zapata
O Teatro Mágico - Segundo Ato;2008;Shows, MPB, Rock Nacional;82 minutos;Fernando Anitelli,Fernando Anitelli
Desejo e Tensão;2017;Comédia, Curta-Metragem;9 minutos;Alice Kremelberg,Jay DeYonker,Stacey Maltin,Victoria Negri,Walker Hare,Stacey Maltin
O Pequeno Príncipe - 3ª Temporada;2010;Animação, Aventura;26 episódios;Aidan Drummond,Brian Drummond,Franck Capillery,Gabriel Bismuth-Bienaimé,Guillaume Gallienne,Alexandre de La Patellière,Matthieu Delaporte
O Segredo das Ruínas;2017;Terror, Drama, Suspense;77 minutos;Amy Celisano,Christopher Sansoni,Craig Van Waardenburg,James Broadhurst,Justin Burford,Taran Dunn,Tristan Balz,Cristian Broadhurst
Fruitvale Station - A Última Parada;2013;Drama, Biografia, Romance;84 minutos;Ahna O'Reilly,Ariana Neal,Chad Michael Murray,Keenan Coogler,Kevin Durand,Melonie Diaz,Michael B. Jordan,Octavia Spencer,Ryan Coogler
Os Homens Que Encaravam Cabras;2009;Comédia, Aventura;93 minutos;Ewan McGregor,George Clooney,Glenn Morshower,Jeff Bridges,Kevin Spacey,Robert Patrick,Stephen Lang,Stephen Root,Grant Heslov
1918 - A Batalha de Kruty;2019;Ação, Drama;110 minutos;Alina Kovalenko,Andrey Fedinchik,Dmytro Stupka,Evhenii Lamakh,Maksym Donets,Mykola Perestiuk,Oleksandr Piskunov,Vlad Nikityuk,Aleksey Shaparev
Pioneiros em Ingolstadt;1971;Clássico, Comédia, Drama;86 minutos;Carla Egerer,Günther Kaufmann,Hanna Schygulla,Harry Baer,Irm Hermann,Klaus Löwitsch,Rudolf Waldemar Brem,Walter Sedlmayr,Rainer Werner Fassbinder
Hacker - Todo Crime tem um Início;2016;Suspense, Drama, Policial;95 minutos;Callan McAuliffe,Clifton Collins Jr.,Daniel Eric Gold,James Cade,Kristian Truelsen,Lorraine Nicholson,Vlada Verevko,Zachary Bennett,Akan Satayev
Dançar, Despertar de um Desejo;2005;Drama, Romance;89 minutos;Anne Benoît,Anne Consigny,Cyril Couton,Geneviève Mnich,Georges Wilson,Hélène Alexandridis,Lionel Abelanski,Patrick Chesnais,Stéphane Brizé
Vingança Fatal;2014;Ação, Biografia;100 minutos;Hazuki Kato,Jimmy Navarro,Laila Ali,Lateef Crowder,Masashi Odate,Michael Jai White,Millie Ruperto,Neal McDonough,Ernie Barbarash
Romance de Formação;2012;Documentários;74 minutos;Caetano Altafin,Fabio Martino,Victoria Saramago,Wilian Cortopassi,Julia De Simone
Critical - 1ª Temporada;2015;Drama, Suspense;13 episódios;Catherine Walker,Claire Skinner,Ellen Thomas,John MacMillan,Kimberley Nixon,Lennie James,Neve McIntosh,Prasanna Puwanarajah,Jon East,Michael Keillor,Philippa Langdale
Detonando em Barcelona;1984;Clássico, Ação, Comédia, Policial;104 minutos;Benny Urquidez,Biao Yuen,Herb Edelman,Jackie Chan,Keith Vitali,Lola Forner,Sammo Hung,Susana Sentís,Sammo Hung Kam-Bo
Um Bom Livro;2013;Drama, Drama, Fé e Espiritualidade, Filme;62 minutos;Amelia Mann,Hayden Gael Barnes,Jayla Palmer,Jenn Gotzon,Omar Lagudali,Rebecca Lines,Rick Wells,Torry Martin,Sharon Wilharm
Contos dos Mares do Sul;1998;Drama;22 episódios;Adrian Wright,Kimberley Joseph,Mark Lee,Rachel Blakely,Rene Naufahu,Rowena King,William Snow,Len Wiseman
Janeiro 27 - Para Que Nunca Mais Aconteça;2014;Documentários, Drama;84 minutos;Leonardo Machado,Luiz Alberto Cassol,Luiz Alberto Cassol,Paulo Nascimento
AfroDance - Kuduro;2019;Dança;12 episódios;Gabb Cabo Verde,Felipe Muñoz
Projeto X - Uma Festa Fora de Controle;2012;Comédia, Policial;88 minutos;Alexis Knapp,Brady Hender,Dax Flame,Jonathan Daniel Brown,Kirby Bliss Blanton,Nick Nervies,Oliver Cooper,Thomas Mann,Nima Nourizadeh
Os Quatro do Apocalipse;1975;Clássico, Fantasia, Western;104 minutos;Adolfo Lastretti,Bruno Corazzari,Donald O'Brien,Fabio Testi,Harry Baird,Lynne Frederick,Michael J. Pollard,Tomas Milian,Lucio Fulci
O Encantador de Baleias;2016;Drama, Romance;100 minutos;Amrain Ismail-Essop,Sello Maake Ka-Ncube,Zola Maseko
Sargento Stubby;2018;Animação, Aventura;84 minutos;Christophe Lemoine,Gérard Depardieu,Guillaume Sentou,Helena Bonham Carter,Jason Ezzell,Jim Pharr,Jordan Beck,Logan Lerman,Richard Lanni
Número 9;2007;Drama, Fantasia, Mistério;99 minutos;Ben Falcone,David Denman,Elle Fanning,Hope Davis,Melissa McCarthy,Octavia Spencer,Ryan Reynolds,John August
Gênios do Crime;2016;Comédia, Ação;94 minutos;Devin Ratray,Jason Sudeikis,Kate McKinnon,Ken Marino,Kristen Wiig,Leslie Jones,Owen Wilson,Zach Galifianakis,Jared Hess
ZIS - Canções Animadas;2016;Musical, Infantil;29 minutos;Hélio Ziskind,Laura Antonacci Araujo,Jonas Brandão,Thomate Larson
O Homem do Braço de Ouro;1955;Clássico, Drama;119 minutos;Arnold Stang,Darren McGavin,Doro Merande,Eleanor Parker,Frank Sinatra,John Conte,Kim Novak,Robert Strauss,Otto Preminger
Pipo - Meu Amigo Imaginário - 2ª Temporada;2013;Animação, Infantil;4 episódios;Amarantha Chambers,David Hassid,Diana Primavera,Jacobo Ortiz,Matias Toro,Santiago Beuth,Sara Rosas,Sara Zuluaga,Valentina Duque,Daniel Vélez Carvajal,Lulú Vieira
A Escolha;2016;Drama, Romance;111 minutos;Alexandra Daddario,Benjamin Walker,Brett Rice,Maggie Grace,Teresa Palmer,Tom Welling,Tom Wilkinson,Ross Katz
O Fantasma de Naamã;2014;Fé e Espiritualidade, Teatro;57 minutos;Ana Isabel Landim,Júnior Yoseph,Lucas Colombo,Lucas Freitas,Shayla Gutemberg,Vanessa Calado,Caique Oliveira
Beleza Eterna;2020;Comédia, Drama, Romance;94 minutos;Alice Lowe,Ashley McGuire,Billie Piper,David Thewlis,Morfydd Clark,Paul Hilton,Penelope Wilton,Robert Pugh,Sally Hawkins,Craig Roberts
Regressão;2015;Policial, Terror;106 minutos;Aaron Ashmore,Dale Dickey,David Dencik,David Thewlis,Devon Bostick,Emma Watson,Ethan Hawke,Peter MacNeill,Alejandro Amenábar
Dossiê Jango;2013;Documentários;103 minutos;Carlos Diegues,Flavio Tavares,João Goulart,Paulo Henrique Fontenelle
Série Sacramentos 2 - Eucaristia - Reconciliação - Unção dos Enfermos;2005;Fé e Espiritualidade;29 minutos;Ir. Nery,Ir. Sonia Batagin,Pe. Antônio Bogaz,Pe. Augusto César Pereira,Roberto Zanin,Osmar Koxne
A Fazenda do Charlie;2014;Terror, Suspense;93 minutos;Aimee Duroux,Bill Moseley,Genna Chanelle Hayes,Kane Hodder,Madeleine Kennedy,Nathan Jones,Tara Reid,Chris Sun
Maria e João - O Conto das Bruxas;2020;Fantasia, Suspense, Terror;87 minutos;Abdul Alshareef,Alice Krige,Beatrix Perkins,Charles Babalola,Ian Kenny,Jessica De Gouw,Manuel Pombo,Samuel Leakey,Sophia Lillis,Oz Perkins
O Corpo em Terapia;2016;Documentários;63 minutos;Pedro,Roberta,Tânia,Márcia Paveck
Investigação Criminal - 9ª Temporada;2019;Documentários, Policial;9 episódios;Não Disponível,Beto Ribeiro,Carla Albuquerque
Departamento Q - O Ausente;2014;Policial, Suspense;119 minutos;Beate Bille,Danica Curcic,David Dencik,Fares Fares,Johanne Louise Schmidt,Nikolaj Lie Kaas,Pilou Asbæk,Sarah-Sofie Boussnina,Mikkel Norgaard
D.P.A - Detetives Do Prédio Azul - O Filme;2016;Aventura, Infantil;90 minutos;Anderson Lima,Caio Manhente,Cauê Campos,Letícia Braga,Letícia Pedro,Pedro Henriques Motta,Ronaldo Reis,Tamara Taxman,André Pellenz
3 Palavrinhas - Volume 4;2017;Animação, Fé e Espiritualidade, Infantil;28 minutos;Não Disponível,Samuel Mizrahy
O Acidente;2017;Ação, Suspense;91 minutos;Alex Anlos,Karl Thaning,Keenan Arrison,Nathan Lynn,Roxane Hayward,Shane John Kruger,Stephanie Schildknecht,Tyrone Keogh,Dan Tondowski
Iniciação a Vida Cristã - Catequese com Estilo Catecumenal;2016;Fé e Espiritualidade;39 minutos;Érica Soares Ribeiro,Pe. Antonio F. Lelo,Osmar Koxne
Operação Policial - Nova Geração - 1ª Temporada;2016;Policial, Documentário;20 episódios;Não Disponível,Beto Ribeiro,Carla Albuquerque
Pornô para Principiantes;2019;Comédia;93 minutos;Carolina Mânica,Daniel Aráoz,Hugo Piccinini,Martín Piroyansky,Nicolás Furtado,Nuria Fló,Roberto Suárez,Carlos Ameglio
Um Dia Para Amar;2015;Drama, Fantasia, Romance;92 minutos;Angela Besharah,Ashleigh Rains,Benjamin Ayres,Danny Smith,Dylan Taylor,Jess Salgueiro,Meghan Heffern,Melanie Scrofano,Geordie Sabbagh
Transplantes - Volume 1;2019;Documentários;11 episódios;Não Disponível,Beto Ribeiro,Carla Albuquerque
O Caso do Homem Errado;2017;Documentários;77 minutos;Jair Kirschke,João Carlos Rodrigues,Juçara Pinto,Luiz Francisco Corrêa,Paulo Ricardo de Moraes,Renato Dornelles,Romeu Karnikowski,Ronaldo Bernardi,Camila de Moraes
Um Lugar ao Sol;2011;Documentários;64 minutos;Não Disponível,Gabriel Mascaro
O Corte;2005;Suspense, Policial;122 minutos;Christa Théret,José Garcia,Karin Viard,Marie Kremer,Olivier Gourmet,Thierry Hancisse,Ulrich Tukur,Yolande Moreau,Costa-Gavras
Roberto Carlos - Duetos;2014;Shows, MPB;65 minutos;Roberto Carlos,Não Disponível
Sonhos;2013;Ficção, Curta-Metragem;16 minutos;Cicero Brito,Jonas Laborda,Kennedy Brito,Uerla Cardoso,Ernesto Molinero,Paula Gomes
Inferno nas Ruas;2018;Drama, Ficção Científica;104 minutos;Carolyn Ratteray,Connor Kelly-Eiding,Connor Trinneer,Karl E. Landler,Liz Vassey,Maeve Quinlan,Marem Hassler,Marina Sirtis,Christin Baker
O Gato de Nove Caudas;1971;Terror, Suspense;111 minutos;Aldo Reggiani,Carlo Alighiero,Catherine Spaak,Horst Frank,James Franciscus,Karl Malden,Pier Paolo Capponi,Rada Rassimov,Dario Argento
Clangers - Volume 1;2015;Animação, Infantil;50 episódios;Michael Palin,Mole Hill
Miss Simpatia;2000;Comédia, Policial;110 minutos;Benjamin Bratt,Candice Bergen,Ernie Hudson,Heather Burns,Michael Caine,Sandra Bullock,Steve Monroe,William Shatner,Donald Petrie
BugiGangue no Espaço;2017;Animação, Infantil;85 minutos;Charles Emmanuel,Danilo Gentili,Guilherme Briggs,Luiz Carlos Persy,Maísa Silva,Rogerio Morgado,Sylvia Salustti,Wirley Contaifer,Alê McHaddo
Hellraiser - Renascido do Inferno;1987;Terror, Suspense;93 minutos;Andrew Robinson,Ashley Laurence,Clare Higgins,Oliver Smith,Sean Chapman,Clive Barker
Julie, Agosto, Setembro;2011;Curta-Metragem, Drama, Ficção;8 minutos;Allan Santana,Carolina Provázio,Meige Laurent,Rodrigo Scaliante,Rômulo Dias,Jarleo Barbosa
Mistérios - Possessão;2015;Fé e Espiritualidade, Documentário;34 minutos;Felipe Ohno,Luciano de Souza,Márcia Cobêro,Norberto Gaviolle,Leandro Rocha
Não Vamos Pagar Nada;2020;Comédia;85 minutos;Criolo,Edmilson Filho,Fernando Caruso,Flavia Reis,Flavio Bauraqui,Leandro Soares,Paulinho Serra,Samantha Schmütz,João Fonseca
O Quarto dos Desejos;2019;Drama, Ficção Científica, Suspense;99 minutos;Francis Chapman,John Flanders,Joshua Wilson,Kevin Janssens,Marianne Bourg,Olga Kurylenko,Oscar Lesage,Vince Drews,Christian Volckman
Hiroshima, Meu Amor;1959;Clássico, Drama, Romance;89 minutos;Bernard Fresson,Eiji Okada,Emmanuelle Riva,Pierre Barbaud,Stella Dassas,Alain Resnais
Krenak - Vivos na Natureza Morta;2017;Documentário;5 episódios;Não Disponível,Andrea Pilar Marranquiel
Ultraman Taiga: O Filme - Clímax da Nova Geração;2020;Ficção Científica, Ação;71 minutos;Ayuri Yoshinaga,Hideo Ishiguro,Kensuke Takahashi,Kou Nanase,Ryosuke Koike,Ryôtarô,Satoshi Hino,Tatsuomi Hamada,Yuki Inoue,Yuya Hirata,Ryûichi Ichino
O Mar Não Está Pra Peixe - Tubarões à Vista!;2012;Animação, Infantil;80 minutos;Andy Dick,Audrey Wasilewski,Busy Philipps,Emma Myant,Matthew Willig,Nolan North,Rob Schneider,Stephen Stanton,Mark A.Z. Dippé,Taedong Park
Heavy Metal - Universo em Fantasia;1981;Aventura, Animação;90 minutos;Eugene Levy,Harold Ramis,John Candy,John Vernon,Richard Romanus,Rodger Bumpass,Gerald Potterton
Sem Mais Delongas, o Curta Metragem Universitário;2006;Curta-Metragem;19 minutos;Felipe De Paula,Liege Massi,Rafael Tombini,Rico Assoni,Frederico Ruas
Lora;2007;Drama, Romance;110 minutos;Andor Lukáts,Ernõ Fekete,György Gazsó,Kata Bartsch,Kati Lázár,Lucia Brawley,Péter Nagy,Zsófia Szamosi,Gábor Herendi
Batalha dos Zumbis;2020;Aventura, Comédia, Terror;85 minutos;Bojan Navojec,Dado Cosic,Dusan Bucan,Hristina Popovic,Kresimir Mikic,Marina Redzepovic,Niksa Butijer,Tihana Lazovic,Predrag Licina
Turminha Animada;2018;Animação, Infantil;35 minutos;Não Disponível,Danilo Aworan
Roberto Carlos - Primera Fila;2015;Shows, MPB;108 minutos;Roberto Carlos,Jayme Monjardim
Matrix;1999;Ficção Científica, Ação;136 minutos;Anthony Ray Parker,Carrie-Anne Moss,Gloria Foster,Hugo Weaving,Joe Pantoliano,Keanu Reeves,Laurence Fishburne,Matt Doran,Andy Wachowski,Larry Wachowski
No Escuro da Noite;2019;Drama, Mistério, Suspense;98 minutos;Azhy Robertson,Caitlin Mehner,Chance Kelly,David Fierro,Enid Graham,Joseph Castillo-Midyett,Tammy Blanchard,Zane Holtz,Jason Noto
Entrevista com Federico Fellini;1987;Clássico, Biografia, Comédia, Drama;102 minutos;Anita Ekberg,Antonella Ponziani,Antonio Cantafora,Federico Fellini,Lara Wendel,Maurizio Mein,Paola Liguori,Sergio Rubini,Federico Fellini
O Enigma da Rosa;2018;Suspense, Drama;99 minutos;Carles Moreu,Elisabet Gelabert,Ignacio Fernández,Miquel Insua,Patricia Olmedo,Pedro Casablanc,Ramiro Blas,Zack Gómez,Josué Ramos
Os Últimos Dias de Pompeia;1959;Clássico, Ação, Aventura;97 minutos;Ángel Aranda,Anne-Marie Baumann,Barbara Carroll,Christine Kaufmann,Fernando Rey,Guillermo Marín,Mimmo Palmara,Steve Reeves,Mario Bonnard
Nhá Chica;2013;Documentários, Fé e Espiritualidade;62 minutos;Sérgio Ribeiro,Diego Octávio
Harry Potter e o Enigma do Príncipe;2009;Aventura, Ação;153 minutos;Daniel Radcliffe,Dave Legeno,Elarica Gallacher,Emma Watson,Jim Broadbent,Michael Gambon,Robbie Coltrane,Rupert Grint,David Yates
Stag - Despedida Mortal;1997;Ação, Drama, Suspense;94 minutos;Andrew McCarthy,Ben Gazzara,Gregory Alan Williams,Jerry Stiller,John Stockwell,Kevin Dillon,Mario Van Peebles,Mark Blum,William McNamara,Gavin Wilding
Albert Nobbs;2011;Drama, Romance;113 minutos;Antonia Campbell-Hughes,Brendan Gleeson,Glenn Close,James Greene,Kenneth Collard,Maria Doyle Kennedy,Mark Williams,Mia Wasikowska,Michael McElhatton,Pauline Collins,Phyllida Law,Rodrigo García
Contação de Histórias - Claire Melusine;2016;Teatro, Curta-Metragem, Infantil;18 minutos;Elcio Rodrigues ,Helena Ritto,Helena Ritto
Os Falsários;2007;Drama, Policial;98 minutos;August Diehl,Devid Striesow,Karl Markovics,Lenn Kudrjawizki,Stefan Ruzowitzky
Contatos de 4º Grau;2009;Suspense, Ficção Científica;97 minutos;Corey Johnson,Elias Koteas,Enzo Cilenti,Eric Loren,Hakeem Kae-Kazim,Mia McKenna-Bruce,Milla Jovovich,Olatunde Osunsanmi,Will Patton,Olatunde Osunsanmi
Pausa Para um Assassinato;2011;Suspense;88 minutos;Clovis Cornillac,Corrado Invernizzi,Geoffrey Bateman,Jean-Claude Dreyfus,Johan Leysen,Mélanie Laurent,Michel Fau,Philippe Morier-Genoud,Tchéky Karyo,Jérôme Le Gris
O Guerreiro do Vento;1980;Aventura, Drama, Western;106 minutos;Dusty McCrea,Emerson John,James Remar,Jason Stevens,Nick Ramus,Serene Hedin,Silvana Gallardo,Trevor Howard,Kieth Merrill
A Fuga;2013;Suspense, Policial;94 minutos;Charlie Hunnam,Eric Bana,Kate Mara,Kris Kristofferson,Olivia Wilde,Sissy Spacek,Treat Williams,Stefan Ruzowitzky
Novembro;2004;Drama, Suspense;78 minutos;Amir Talai,Brittany Ishibashi,Courteney Cox,Dori Mizrahi,James Le Gros,Matthew Carey,Michael Ealy,Nora Dunn,Greg Harrison
Muito Além do Medo - 1ª Temporada;2012;Terror, Suspense;4 episódios;Adriano Paixão,Anderson Corrêa,Carlos Jacobsen,Eliete Gonçalves Sarrea,Fernando Rocha,Giovanna Sá,Lia Antunes,Anderson Corrêa
Martinho da Vila - Conexões - Ao Vivo;2004;Shows, MPB, Samba / Pagode;75 minutos;Martinho da Vila,Marco Mazzola
Grilhões do Passado;1955;Clássico, Drama, Policial, Suspense;97 minutos;Akim Tamiroff,Katina Paxinou,Michael Redgrave,Mischa Auer,Orson Welles,Paola Mori,Patricia Medina,Peter van Eyck,Orson Welles
Sete Vidas em 7 Cordas - 1ª Temporada;2015;Documentário;7 episódios;Não Disponível,Pablo Francischelli
Mundo Maior Debate - Transexualidade;2016;Fé e Espiritualidade, Documentário;74 minutos;Não Disponível,André Marouço
Emagrecimento Saudável - 1ª Temporada;2017;Gastronomia;10 episódios;Larissa Ragonha,Felipe Muñoz
Leo & Lully - Conhecendo as Frutas;2018;Animação, Infantil;26 minutos;Thaiana Volkmann,Augusto Queiroz,Rodrigo Eller
IN 20 STEPS;2015;Curta-Metragem, Cinema;2 minutos;"RALPH NAUTA; LONNEKE GORDIJN,RALPH NAUTA; LONNEKE GORDIJN"
Tocados Pelo Fogo;2015;Drama, Romance;106 minutos;Alex Manette,Bruce Altman,Christine Lahti,Daniel Gerroll,Griffin Dunne,Katie Holmes,Luke Kirby,Maryann Urbano,Paul Dalio
Falando com o Paraíso - Parte 1;2002;Drama, Ficção Científica, Policial;87 minutos;Diane Ladd,Jack Palance,Jay Brazeau,Joy Coghill,Mary Steenburgen,Michael Moriarty,Queen Latifah,Ted Danson,Stephen Gyllenhaal
Do Pó da Terra;2016;Documentários;78 minutos;Não Disponível,Maurício Nahas
Galinha Pintadinha Mini - Temporada 2;2016;Animação, Infantil;7 episódios;Não Disponível,Juliano Prado,Marcos Luporini
Expresso Transiberiano;2008;Drama, Policial;106 minutos;Ben Kingsley,Colin Stinton,Eduardo Noriega,Emily Mortimer,Etienne Chicot,Kate Mara,Thomas Kretschmann,Woody Harrelson,Brad Anderson
Pânico nas Alturas;2019;Ação, Suspense;85 minutos;Anastasiya Grachyova,Andrey Nazimov,Denis Kosyakov,Ingrid Olerinskaya,Irina Antonenko,Sergey Todorov,Viktoriya Pyatakina,Vladimir Gusev,Tigran Sahakyan
Batman - O Retorno da Dupla Dinâmica;2016;Animação, Ação, Aventura;78 minutos;Adam West,Burt Ward,Jeff Bergman,Jim Ward,Julie Newmar,Steven Weber,Wally Wingert,William Salyers,Rick Morales
Esposa de Mentirinha;2011;Comédia, Romance;117 minutos;Adam Sandler,Allen Covert,Bailee Madison,Jennifer Aniston,Kevin Nealon,Nick Swardson,Nicole Kidman,Rachel Dratch,Dennis Dugan
Minotauro;2006;Aventura, Ficção Científica;91 minutos;Jonathan Readwin,Lex Shrapnel,Lucy Brown,Maimie McCoy,Michelle Van Der Water,Rutger Hauer,Tom Hardy,Tony Todd,Jonathan English
A Noiva do Monstro;1955;Terror, Ficção Científica;69 minutos;Bela Lugosi,Don Nagel,George Becwar,Harvey B. Dunn,Loretta King,Paul Marco,Tony McCoy,Tor Johnson,Edward D. Wood Jr.
Boys;2014;Drama, Romance;76 minutos;Gijs Blom,Jonas Smulders,Ko Zandvliet,Myron Wouts,Rachelle Verdel,Rifka Lodeizen,Stijn Taverne,Ton Kas,Mischa Kamp
Que Amor é Esse?;2011;Drama, Curta-Metragem;20 minutos;Fernanda Silva de Oliveira,Patricia Coelho Macedo,Victor José Macedo,Jefferson Agostinho
O Poder e a Lei;2011;Drama, Suspense;116 minutos;Frances Fisher,John Leguizamo,Josh Lucas,Marisa Tomei,Matthew McConaughey,Michael Peña,Ryan Phillippe,William H. Macy,Brad Furman
O Marido Era o Culpado;1936;Clássico, Policial, Suspense;76 minutos;Desmond Tester,John Loder,Joyce Barbour,Matthew Boulton,Oskar Homolka,S.J. Warmington,Sylvia Sidney,William Dewhurst,Alfred Hitchcock
Travessia Brasil Haiti;2018;Documentários;67 minutos;Davidson Michel,Joseph Colas Dufert,Louis Jean Lormicelé,Metnol Ciceron,Daniel Pereira
Acampamento Lakebottom - 1ª Temporada;2013;Animação, Infantil;26 episódios;Carter Hayden,Cliff Saunders,Darren Frost,Jonathan Wilson,Melissa Altro,Scott McCord,Betsy McGowen,Eric Jacobson
Planeta Feroz;2011;Ficção Científica, Aventura, Suspense;88 minutos;Catherine Walker,Chris Newman,Dagmar Döring,Joe Flanigan,John Rhys-Davies,Michael Yare,Robert Soohan,Sam O'Mahony,Billy O'Brien
Amigos Alienígenas;2018;Animação, Infantil;85 minutos;Chloë Lee Constantin,Claude Perron,Flemming Stein,Holger Mahlich,Tim Grobe,Christoph Lauenstein,Sean McCormack,Wolfgang Lauenstein
A Morte de Stalin;2017;Drama, Comédia;106 minutos;Andrea Riseborough,Jason Isaacs,Jeffrey Tambor,Michael Palin,Paddy Considine,Rupert Friend,Simon Russell Beale,Steve Buscemi,Armando Iannucci
O Homem Infinito;2014;Comédia, Fantasia, Ficção Científica;84 minutos;Alex Dimitriades,Hannah Marshall,Josh McConville,Hugh Sullivan
Frost - Almas Congeladas;2004;Terror, Suspense;99 minutos;Cristina Maxwell,Jason Loughridge,Jerry Baxter,Linnea Quigley,Marq Hawkins,Marzio Frei,Mina Chow,Tiffany Rae Larkin,Tony Travis,Dominik Alber
A Lenda do Rei Salomão;2017;Animação, História, Infantil;79 minutos;Albert Cohen,Eden Har'el,Hana Laslo,Nitzan Sitzer,Oded Menashe,Ori Laizerouvich,Ori Pfeffer,Albert Hanan Kaminski
Super Onze - 1ª Temporada;2008;Animação, Infantil;78 episódios;Michael C. Pizzuto,Scott Evans,Katsuhito Akiyama
A Raposa Má;2017;Animação, Aventura, Comédia, Fantasia;79 minutos;Antoine Schoumsky,Augustin Jahn-Sani,Boris Rehlinger,Damien Witecka,Guillaume Darnault,Jules Bienvenu,Kamel Abdessadok,Violette Samama,Benjamin Renner,Patrick Imbert
Amante a Domicílio;2014;Comédia;89 minutos;Jade Dixon,John Turturro,Liev Schreiber,Sharon Stone,Sofia Vergara,Tonya Pinkins,Vanessa Paradis,Woody Allen,John Turturro
O Besouro Verde - Parte 1;1940;Clássico, Aventura, Drama, Policial;124 minutos;Anne Nagel,Cy Kendall,Gene Rizzi,Gordon Jones,Keye Luke,Phillip Trent,Wade Boteler,Walter McGrail,Ford Beebe,Ray Taylor
Entre Luz e Escuridão;2011;Curta-Metragem;22 minutos;Não Disponível,Penelope Price
Harry Brown;2009;Policial, Ação;102 minutos;Ben Drew,Charlie Creed-Miles,David Bradley ,Emily Mortimer,Iain Glen,Jack O'Connell,Michael Caine,Sean Harris,Daniel Barber
Depois do Fim do Mundo;2001;Drama, Ficção Científica, Mistério;78 minutos;Aubrey Ankrum,Chris Chambre,Christine Cannavo,Josiah Clark,Ronald Chase,Sally Dana,Calum Grant,Joshua Atesh Litle
Orquestra Invisível Let´s Dance;2016;Documentário, Curta-Metragem;19 minutos;Seu Osvaldo,Alice Riff
Lucky Fred - 1ª Temporada;2011;Animação, Infantil;52 episódios;Beth Chalmers,David Freedman,Elizabeth Sankey,Jules de Jongh,Paul Kaye,Rupert Degas,Myriam Ballesteros
O Incrível Mágico Burt Wonderstone;2013;Comédia, Drama;100 minutos;Alan Arkin,James Gandolfini,Jay Mohr,Jim Carrey,Mason Cook,Olivia Wilde,Steve Buscemi,Steve Carell,Don Scardino
O Poder do Soul;2008;Documentários, Musical;92 minutos;B.b. King,Celia Cruz,Don King,James Brown,Muhammad Ali,Jeffrey Levy-Hinte
Sotaque Elétrico;2018;Documentários, Musical;91 minutos;Armandinho Macêdo,Davi Moraes,Felipe Cordeiro,Kiko Loureiro,Lanny Gordin,Lucio Maia,Manoel Cordeiro,Sérgio Dias,Caio Jobim,Pablo Francischelli
Minha Mãe - Parte 2;2010;Drama, Romance;102 minutos;Eros Galbiati,Rosa Diletta Rossi,Stella Egitto,Ricky Tognazzi
1BR - O Apartamento;2020;Terror, Drama, Suspense;90 minutos;Celeste Sully,Clayton Hoff,Earnestine Phillips,Giles Matthey,Hailey Giles,Naomi Grossman,Nicole Brydon Bloom,Taylor Nichols,David Marmor
